"tradetype","districtofficecode","districtofficename","countryoforigin","countryoforiginname","countryofdestination","countryofdestinationname","tariff","statisticalunit","transportcode","transportcodedescription","yearmonth","calendaryear","section","sectionanddescription","chapter","chapteranddescription","tariffanddescription","statisticalquantity","customsvalue","worldregion"
"Imports","JHB","Johannesburg","DE","Germany","ZA","South Africa","27101190","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101190 - Other","3.23","4478","EUROPE"
"Imports","JSA","O.R. Tambo Int Airport","AT","Austria","ZA","South Africa","27101152","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101152 - Other prepared lubricating oils","10.09","3012","EUROPE"
"Imports","JHB","Johannesburg","IT","Italy","ZA","South Africa","27111310","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27111310 - In immediate packings of a content not exceeding 250 g","7879.68","172292","EUROPE"
"Imports","JHB","Johannesburg","MZ","Mozambique","ZA","South Africa","27160000","MW","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27160000 - Electrical Energy","13877.65","143170219","AFRICA"
"Imports","JSA","O.R. Tambo Int Airport","DE","Germany","ZA","South Africa","27111310","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27111310 - In immediate packings of a content not exceeding 250 g","26","13830","EUROPE"
"Imports","JHB","Johannesburg","ES","Spain","ZA","South Africa","27101147","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101147 - Lubricating grease","746.8","84345","EUROPE"
"Imports","JSA","O.R. Tambo Int Airport","CH","Switzerland","ZA","South Africa","27101152","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101152 - Other prepared lubricating oils","5.25","2631","EUROPE"
"Imports","JHB","Johannesburg","TR","Turkey","ZA","South Africa","27101147","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101147 - Lubricating grease","950","51243","ASIA"
"Imports","MOS","Mosselbay","AE","United Arab Emirates","ZA","South Africa","27090000","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27090000 - Petroleum Oils And Oils Obtained From Bituminous Minerals, Crude","35923424","190546371","ASIA"
"Imports","JHB","Johannesburg","ZW","Zimbabwe","ZA","South Africa","27040000","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27040000 - Coke And Semi-Coke Of Coal, Of Lignite Or Of Peat, Whether Or Not Agglomerated; Retort Carbon","149800","67410","AFRICA"
"Imports","JSA","O.R. Tambo Int Airport","ES","Spain","ZA","South Africa","27101152","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101152 - Other prepared lubricating oils","22.35","3747","EUROPE"
"Imports","KOM","Komatipoort","BH","Bahrain","ZA","South Africa","27101130","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101130 - Distillate fuel, as defined in Additional Note 1 (g)","6783602","31486500","ASIA"
"Imports","JHB","Johannesburg","SE","Sweden","ZA","South Africa","27101900","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101900 - Other","218","170340","EUROPE"
"Imports","JSA","O.R. Tambo Int Airport","DE","Germany","ZA","South Africa","27101900","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101900 - Other","4.25","790","EUROPE"
"Imports","JSA","O.R. Tambo Int Airport","DE","Germany","ZA","South Africa","27101147","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101147 - Lubricating grease","831.6","98844","EUROPE"
"Imports","JHB","Johannesburg","FR","France","ZA","South Africa","27101102","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101102 - Petrol, as defined in Additional Note 1(b)","5248","46559","EUROPE"
"Imports","JHB","Johannesburg","DE","Germany","ZA","South Africa","27101900","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101900 - Other","415.85","20737","EUROPE"
"Imports","JHB","Johannesburg","DE","Germany","ZA","South Africa","27112990","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27112990 - Other","11306.82","337155","EUROPE"
"Imports","FBB","Ficksburg Bridge","LS","Lesotho","ZA","South Africa","27112100","KG","03","Road","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27112100 - Natural Gas","5","612","AFRICA"
"Imports","FBB","Ficksburg Bridge","LS","Lesotho","ZA","South Africa","27111100","KG","03","Road","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27111100 - Natural Gas","1","995","AFRICA"
"Imports","JSA","O.R. Tambo Int Airport","ZN","Gold, Petroleum and Other","ZA","South Africa","27101149","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101149 - Prepared lubricating oils, in containers holding less than 5 li","13.08","3219","OTHER UNCLASSIFIED"
"Imports","JSA","O.R. Tambo Int Airport","DE","Germany","ZA","South Africa","27101149","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101149 - Prepared lubricating oils, in containers holding less than 5 li","4.32","974","EUROPE"
"Imports","JHB","Johannesburg","MZ","Mozambique","ZA","South Africa","27111100","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27111100 - Natural Gas","192300977.14","103154938","AFRICA"
"Imports","JHB","Johannesburg","DE","Germany","ZA","South Africa","27101152","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101152 - Other prepared lubricating oils","4126.87","309843","EUROPE"
"Imports","JHB","Johannesburg","NL","Netherlands","ZA","South Africa","27030000","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27030000 - Peat (Including Peat Litter), Whether Or Not Agglomerated","574500","597099","EUROPE"
"Imports","JHB","Johannesburg","FR","France","ZA","South Africa","27101135","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101135 - Residual fuel oils, as defined in Additional Note 1 (h)","128","6084","EUROPE"
"Imports","JHB","Johannesburg","BE","Belgium","ZA","South Africa","27101149","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101149 - Prepared lubricating oils, in containers holding less than 5 li","774","25461","EUROPE"
"Imports","JSA","O.R. Tambo Int Airport","US","United States","ZA","South Africa","27111400","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27111400 - Ethylene, Propylene, Butylene And Butadiene","8.44","2207","AMERICA"
"Imports","ELN","East London","TW","Taiwan","ZA","South Africa","27101152","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101152 - Other prepared lubricating oils","3000","34057","ASIA"
